Date,Close
2010-01-04,6.440329551696777
2010-01-05,6.451465129852295
2010-01-06,6.348846912384033
2010-01-07,6.337108612060547
2010-01-08,6.379241943359375
2010-01-11,6.322965621948242
2010-01-12,6.251042366027832
2010-01-13,6.33921480178833
2010-01-14,6.302502632141113
2010-01-15,6.197174549102783
2010-01-19,6.47132682800293
2010-01-20,6.371718406677246
2010-01-21,6.2615742683410645
2010-01-22,5.951010227203369
2010-01-25,6.111107349395752
2010-01-26,6.197474956512451
2010-01-27,6.255857467651367
2010-01-28,5.997353553771973
2010-01-29,5.779776573181152
2010-02-01,5.86012601852417
2010-02-02,5.894132137298584
2010-02-03,5.995548248291016
2010-02-04,5.779477596282959
2010-02-05,5.882094383239746
2010-02-08,5.841770172119141
2010-02-09,5.904063701629639
2010-02-10,5.871860980987549
2010-02-11,5.978695392608643
2010-02-12,6.030154705047607
2010-02-16,6.121038436889648
2010-02-17,6.095459461212158
2010-02-18,6.1068925857543945
2010-02-19,6.068975448608398
2010-02-22,6.0313568115234375
2010-02-23,5.93024492263794
2010-02-24,6.038583278656006
2010-02-25,6.07890510559082
2010-02-26,6.15775203704834
2010-03-01,6.289262771606445
2010-03-02,6.285048484802246
2010-03-03,6.299491882324219
2010-03-04,6.34102201461792
2010-03-05,6.588994026184082
2010-03-08,6.5929059982299805
2010-03-09,6.711474895477295
2010-03-10,6.766242980957031
2010-03-11,6.786106109619141
2010-03-12,6.819211483001709
2010-03-15,6.736151218414307
2010-03-16,6.754508018493652
2010-03-17,6.744577884674072
2010-03-18,6.760528087615967
2010-03-19,6.688302993774414
2010-03-22,6.7635345458984375
2010-03-23,6.872174263000488
2010-03-24,6.902568817138672
2010-03-25,6.820714950561523
2010-03-26,6.948611736297607
2010-03-29,6.993449687957764
2010-03-30,7.097573280334473
2010-03-31,7.071994304656982
2010-04-01,7.101184368133545
2010-04-05,7.177020072937012
2010-04-06,7.208620071411133
2010-04-07,7.240519046783447
2010-04-08,7.220958709716797
2010-04-09,7.276330471038818
2010-04-12,7.291380882263184
2010-04-13,7.295590877532959
2010-04-14,7.393696308135986
2010-04-15,7.490897655487059
2010-04-16,7.445157051086426
2010-04-19,7.435225009918213
2010-04-20,7.360592842102051
2010-04-21,7.8008623123168945
2010-04-22,8.019041061401367
2010-04-23,8.150248527526855
2010-04-26,8.11022663116455
2010-04-27,7.8857269287109375
2010-04-28,7.872486591339111
2010-04-29,8.084345817565918
2010-04-30,7.857136249542236
2010-05-03,8.01543140411377
2010-05-04,7.784611225128174
2010-05-05,7.7036590576171875
2010-05-06,7.410549163818359
2010-05-07,7.097875595092773
2010-05-10,7.643472671508789
2010-05-11,7.71960973739624
2010-05-12,7.887230396270752
2010-05-13,7.774984359741211
2010-05-14,7.638359069824219
2010-05-17,7.65039587020874
2010-05-18,7.594423294067383
2010-05-19,7.473442554473877
2010-05-20,7.155054569244385
2010-05-21,7.292281150817871
2010-05-24,7.425899028778076
2010-05-25,7.379554271697998
2010-05-26,7.3461480140686035
2010-05-27,7.624212741851807
2010-05-28,7.73044490814209
2010-06-01,7.849310398101807
2010-06-02,7.943209171295166
2010-06-03,7.918229103088379
2010-06-04,7.702755928039551
2010-06-07,7.551689624786377
2010-06-08,7.503238201141357
2010-06-09,7.318763256072998
2010-06-10,7.538748264312744
2010-06-11,7.6290283203125
2010-06-14,7.652202606201172
2010-06-15,7.815005779266357
2010-06-16,8.042512893676758
2010-06-17,8.18154525756836
2010-06-18,8.24775505065918
2010-06-21,8.130386352539062
2010-06-22,8.241133689880371
2010-06-23,8.154461860656738
2010-06-24,8.09517765045166
2010-06-25,8.025961875915527
2010-06-28,8.074112892150879
2010-06-29,7.709075927734375
2010-06-30,7.569442272186279
2010-07-01,7.477654457092285
2010-07-02,7.431314945220947
2010-07-06,7.48217248916626
2010-07-07,7.784310340881348
2010-07-08,7.766855716705322
2010-07-09,7.812899589538574
2010-07-12,7.742784023284912
2010-07-13,7.577567100524902
2010-07-14,7.605552196502685
2010-07-15,7.567034721374512
2010-07-16,7.520392894744873
2010-07-19,7.390386581420898
2010-07-20,7.580277442932129
2010-07-21,7.650998592376709
2010-07-22,7.794842720031738
2010-07-23,7.822528839111328
2010-07-26,7.802671432495117
2010-07-27,7.947117805480957
2010-07-28,7.853225708007812
2010-07-29,7.767457485198975
2010-07-30,7.741580009460449
2010-08-02,7.880006313323975
2010-08-03,7.882418632507324
2010-08-04,7.914016246795654
2010-08-05,7.87549352645874
2010-08-06,7.827043056488037
2010-08-09,7.876996994018555
2010-08-10,7.806583404541016
2010-08-11,7.529120445251465
2010-08-12,7.577266216278076
2010-08-13,7.496316432952881
2010-08-16,7.452378273010254
2010-08-17,7.582684993743896
2010-08-18,7.615787506103516
2010-08-19,7.519790172576904
2010-08-20,7.512566089630127
2010-08-23,7.397006988525391
2010-08-24,7.220356941223144
2010-08-25,7.309433937072754
2010-08-26,7.230891704559326
2010-08-27,7.271218299865723
2010-08-30,7.297695636749268
2010-08-31,7.315752029418945
2010-09-01,7.533331394195557
2010-09-02,7.588699340820312
2010-09-03,7.787319183349609
2010-09-07,7.758434772491455
2010-09-08,7.912206172943115
2010-09-09,7.916721343994141
2010-09-10,7.926956653594971
2010-09-13,8.03619384765625
2010-09-14,8.06689167022705
2010-09-15,8.1318941116333
2010-09-16,8.322981834411621
2010-09-17,8.286873817443848
2010-09-20,8.523409843444824
2010-09-21,8.539658546447754
2010-09-22,8.659429550170898
2010-09-23,8.69464111328125
2010-09-24,8.79695987701416
2010-09-27,8.762049674987793
2010-09-28,8.632648468017578
2010-09-29,8.647993087768555
2010-09-30,8.539057731628418
2010-10-01,8.502044677734375
2010-10-04,8.38528060913086
2010-10-05,8.695245742797852
2010-10-06,8.702765464782715
2010-10-07,8.703672409057617
2010-10-08,8.849623680114746
2010-10-11,8.888446807861328
2010-10-12,8.984142303466797
2010-10-13,9.03229522705078
2010-10-14,9.09759521484375
2010-10-15,9.47165584564209
2010-10-18,9.5697660446167
2010-10-19,9.313665390014648
2010-10-20,9.344961166381836
2010-10-21,9.314571380615234
2010-10-22,9.252877235412598
2010-10-25,9.294105529785156
2010-10-26,9.270333290100098
2010-10-27,9.263713836669922
2010-10-28,9.185771942138672
2010-10-29,9.057571411132812
2010-11-01,9.153867721557615
2010-11-02,9.30975341796875
2010-11-03,9.41327667236328
2010-11-04,9.577889442443848
2010-11-05,9.543580055236816
2010-11-08,9.588422775268556
2010-11-09,9.51198387145996
2010-11-10,9.570667266845703
2010-11-11,9.529136657714844
2010-11-12,9.269733428955078
2010-11-15,9.23993682861328
2010-11-16,9.07593059539795
2010-11-17,9.043123245239258
2010-11-18,9.281767845153809
2010-11-19,9.230609893798828
2010-11-22,9.430131912231444
2010-11-23,9.290797233581545
2010-11-24,9.473464965820312
2010-11-26,9.479484558105469
2010-11-29,9.535759925842283
2010-11-30,9.363624572753906
2010-12-01,9.521613121032717
2010-12-02,9.5742769241333
2010-12-03,9.552911758422852
